Timestamp	Question	Model	LLM_time	SQL_time	Rows	Columns	Percent_rows_equality	Percent_columns_equality	Percent_source_rows_equality	Percent_llm_rows_equality	Total_tokens	Prompt_tokens	Completion_tokens	Cost_total_EUR	Cost_input_tokens_EUR	Cost_output_tokens_EUR
2025-06-27 18:37:17	1	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	2.8	0.0	0	0	0.0	0.0	0.0	0.0	1838	1714	124	0.002519	0.001954	0.000565
2025-06-27 18:37:38	2	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	3.4	17.4	5	4	1.0	1.0	1.0	1.0	1741	1623	118	0.002388	0.00185	0.000538
2025-06-27 18:37:50	3	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	1.8	10.2	5	3	1.0	1.0	1.0	1.0	1993	1920	73	0.002522	0.002189	0.000333
2025-06-27 18:38:04	4	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	4.5	9.5	5	4	0.33	1.0	0.33	1.0	2460	2256	204	0.003502	0.002572	0.00093
2025-06-27 18:38:13	5	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	4.0	5.3	123	4	1.0	0.75	0.0	0.0	2498	2279	219	0.003597	0.002598	0.000999
2025-06-27 18:38:18	6	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	3.0	1.6	10	3	1.0	1.0	1.0	1.0	1960	1799	161	0.002785	0.002051	0.000734
2025-06-27 18:38:23	7	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	2.6	2.1	7	3	1.0	0.67	0.0	0.0	1728	1649	79	0.00224	0.00188	0.00036
2025-06-27 18:38:28	8	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	3.0	1.8	3	4	1.0	1.0	1.0	1.0	1895	1773	122	0.002578	0.002021	0.000556
2025-06-27 18:38:33	9	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	3.5	1.9	4	3	1.0	1.0	1.0	1.0	1957	1818	139	0.002706	0.002073	0.000634
2025-06-27 18:38:38	10	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	2.3	2.3	19	4	1.0	1.0	1.0	1.0	1837	1732	105	0.002453	0.001974	0.000479
