Timestamp	Question	Model	LLM_time	SQL_time	Rows	Columns	Percent_rows_equality	Percent_columns_equality	Percent_source_rows_equality	Percent_llm_rows_equality	Total_tokens	Prompt_tokens	Completion_tokens	Cost_total_EUR	Cost_input_tokens_EUR	Cost_output_tokens_EUR
2025-06-01 21:04:45	1	DeepSeek-V3-0324	3.5	1.4	4	4	1.0	1.0	1.0	1.0	1838	1714	124	0.002519	0.001954	0.000565
2025-06-01 21:04:53	2	DeepSeek-V3-0324	6.3	1.2	5	4	1.0	1.0	1.0	1.0	1741	1623	118	0.002388	0.00185	0.000538
2025-06-01 21:05:04	3	DeepSeek-V3-0324	2.1	8.7	5	3	1.0	1.0	1.0	1.0	1993	1920	73	0.002522	0.002189	0.000333
2025-06-01 21:05:17	4	DeepSeek-V3-0324	9.0	4.6	5	4	0.33	1.0	0.33	1.0	2460	2256	204	0.003502	0.002572	0.00093
2025-06-01 21:05:25	5	DeepSeek-V3-0324	4.6	3.4	123	4	1.0	0.75	0.0	0.0	2498	2279	219	0.003597	0.002598	0.000999
2025-06-01 21:05:44	6	DeepSeek-V3-0324	17.4	0.0	0	0	0.0	0.0	0.0	0.0	1964	1799	165	0.002803	0.002051	0.000752
2025-06-01 21:05:52	7	DeepSeek-V3-0324	6.0	2.0	7	3	1.0	0.67	0.0	0.0	1728	1649	79	0.00224	0.00188	0.00036
2025-06-01 21:05:59	8	DeepSeek-V3-0324	4.7	1.8	3	4	1.0	1.0	1.0	1.0	1895	1773	122	0.002578	0.002021	0.000556
2025-06-01 21:06:03	9	DeepSeek-V3-0324	2.5	1.9	4	3	1.0	1.0	1.0	1.0	1957	1818	139	0.002706	0.002073	0.000634
2025-06-01 21:06:20	10	DeepSeek-V3-0324	14.8	2.2	19	4	1.0	1.0	1.0	1.0	1845	1732	113	0.00249	0.001974	0.000515
2025-06-01 21:06:30	11	DeepSeek-V3-0324	3.7	6.2	15	2	1.0	1.0	1.0	1.0	2001	1938	63	0.002497	0.002209	0.000287
2025-06-01 21:06:39	12	DeepSeek-V3-0324	7.9	1.4	3	2	1.0	1.0	1.0	1.0	1687	1622	65	0.002145	0.001849	0.000296
2025-06-01 21:06:51	13	DeepSeek-V3-0324	9.4	2.1	6	4	1.0	1.0	1.0	1.0	1934	1736	198	0.002882	0.001979	0.000903
2025-06-01 21:07:13	14	DeepSeek-V3-0324	20.4	1.5	3	3	1.0	1.0	1.0	1.0	1953	1805	148	0.002733	0.002058	0.000675
2025-06-01 21:08:39	15	DeepSeek-V3-0324	82.4	3.7	4	13	1.0	1.0	1.0	1.0	1981	1626	355	0.003472	0.001854	0.001619
2025-06-01 21:09:03	16	DeepSeek-V3-0324	22.6	0.0	0	0	0.0	0.0	0.0	0.0	2212	1816	396	0.003876	0.00207	0.001806
2025-06-01 21:09:31	17	DeepSeek-V3-0324	25.5	2.1	16	6	1.0	0.83	0.0	0.0	2161	1862	299	0.003486	0.002123	0.001363
2025-06-01 21:09:43	18	DeepSeek-V3-0324	10.0	2.5	122	6	1.0	1.0	1.0	1.0	2019	1828	191	0.002955	0.002084	0.000871
2025-06-01 21:10:08	19	DeepSeek-V3-0324	19.9	5.2	105	5	1.0	0.71	0.0	0.0	2572	2297	275	0.003873	0.002619	0.001254
2025-06-01 21:10:17	20	DeepSeek-V3-0324	3.8	4.2	1501	5	1.0	1.0	1.0	1.0	2475	2286	189	0.003468	0.002606	0.000862
2025-06-01 21:10:21	1	gpt-4o	2.8	1.5	4	4	1.0	1.0	1.0	1.0	1767	1644	123	0.00534	0.00411	0.00123
2025-06-01 21:10:24	2	gpt-4o	2.1	1.1	5	4	1.0	1.0	1.0	1.0	1653	1553	100	0.004883	0.003883	0.001
2025-06-01 21:10:35	3	gpt-4o	1.8	8.4	5	3	1.0	1.0	1.0	1.0	1906	1837	69	0.005283	0.004593	0.00069
2025-06-01 21:10:40	4	gpt-4o	4.0	0.0	0	0	0.0	0.0	0.0	0.0	2467	2165	302	0.008433	0.005413	0.00302
2025-06-01 21:11:24	5	gpt-4o	40.8	3.2	424	4	0.0	0.75	0.0	0.0	2376	2185	191	0.007373	0.005463	0.00191
2025-06-01 21:11:27	6	gpt-4o	1.9	1.4	10	3	1.0	1.0	1.0	1.0	1869	1724	145	0.00576	0.00431	0.00145
2025-06-01 21:11:31	7	gpt-4o	1.8	1.9	7	3	1.0	1.0	1.0	1.0	1660	1582	78	0.004735	0.003955	0.00078
2025-06-01 21:11:39	8	gpt-4o	6.4	1.5	3	4	1.0	1.0	1.0	1.0	1821	1702	119	0.005445	0.004255	0.00119
2025-06-01 21:12:24	9	gpt-4o	42.8	1.9	4	3	1.0	1.0	1.0	1.0	1874	1743	131	0.005668	0.004358	0.00131
2025-06-01 21:12:30	10	gpt-4o	4.0	2.2	19	4	1.0	1.0	1.0	1.0	1773	1663	110	0.005258	0.004158	0.0011
2025-06-01 21:12:38	11	gpt-4o	1.8	6.5	15	2	1.0	1.0	1.0	1.0	1914	1855	59	0.005228	0.004638	0.00059
2025-06-01 21:12:41	12	gpt-4o	1.4	1.3	3	2	1.0	1.0	1.0	1.0	1619	1555	64	0.004528	0.003888	0.00064
2025-06-01 21:13:26	13	gpt-4o	42.6	2.1	6	4	1.0	1.0	1.0	1.0	1859	1667	192	0.006088	0.004168	0.00192
2025-06-01 21:13:30	14	gpt-4o	2.0	2.1	3	3	1.0	1.0	1.0	1.0	1858	1730	128	0.005605	0.004325	0.00128
2025-06-01 21:13:41	15	gpt-4o	6.7	4.2	4	13	1.0	1.0	1.0	1.0	1852	1559	293	0.006828	0.003898	0.00293
2025-06-01 21:13:46	16	gpt-4o	3.5	1.7	20	6	1.0	1.0	1.0	1.0	2082	1744	338	0.00774	0.00436	0.00338
2025-06-01 21:14:28	17	gpt-4o	39.5	2.3	16	5	1.0	0.83	0.0	0.0	2087	1787	300	0.007468	0.004468	0.003
2025-06-01 21:14:33	18	gpt-4o	2.4	2.3	122	6	1.0	1.0	1.0	1.0	1952	1754	198	0.006365	0.004385	0.00198
