Timestamp	Question	Model	LLM_time	SQL_time	Rows	Columns	Rows_equality	Columns_equality	Datasets_equality	Total_tokens	Prompt_tokens	Completion_tokens	Cost_total_EUR	Cost_input_tokens_EUR	Cost_output_tokens_EUR
2025-08-06 19:53:18	1	gpt-oss-120b	5.0	0.4	24	5	1.0	1.0	1.0	2414	1887	527	0.001756	0.000528	0.001228
2025-08-06 19:53:22	2	gpt-oss-120b	3.6	0.0	5	4	1.0	1.0	1.0	2276	1796	480	0.001621	0.000503	0.001118
2025-08-06 19:53:45	3	gpt-oss-120b	4.8	18.9	5	3	1.0	1.0	1.0	2387	2080	307	0.001298	0.000582	0.000715
2025-08-06 19:53:49	4	gpt-oss-120b	3.0	0.0	0	0	0.0	0.0	0.0	2574	2408	166	0.001061	0.000674	0.000387
2025-08-06 19:54:07	5	gpt-oss-120b	18.3	0.0	0	0	0.0	0.0	0.0	3969	2428	1541	0.00427	0.00068	0.003591
2025-08-06 19:54:11	6	gpt-oss-120b	4.2	0.2	10	3	1.0	1.0	1.0	2560	1980	580	0.001906	0.000554	0.001351
2025-08-06 19:54:15	7	gpt-oss-120b	3.1	0.2	7	3	1.0	1.0	1.0	2216	1825	391	0.001422	0.000511	0.000911
2025-08-06 19:54:19	8	gpt-oss-120b	3.9	0.3	3	5	1.0	1.0	1.0	2404	1945	459	0.001614	0.000545	0.001069
2025-08-06 19:54:25	9	gpt-oss-120b	5.8	0.1	6	3	1.0	1.0	1.0	2763	1986	777	0.002366	0.000556	0.00181
2025-08-06 19:54:31	10	gpt-oss-120b	3.4	0.9	255868	4	1.0	1.0	1.0	2337	1906	431	0.001538	0.000534	0.001004
2025-08-06 19:54:37	11	gpt-oss-120b	4.0	2.5	15	2	1.0	1.0	1.0	2660	2111	549	0.00187	0.000591	0.001279
2025-08-06 19:54:41	12	gpt-oss-120b	3.9	0.1	3	2	1.0	1.0	1.0	2187	1798	389	0.00141	0.000503	0.000906
2025-08-06 19:54:53	13	gpt-oss-120b	4.1	2.8	758246	4	1.0	1.0	1.0	2506	1923	583	0.001897	0.000538	0.001358
2025-08-06 19:55:01	14	gpt-oss-120b	8.1	0.1	12	3	1.0	1.0	1.0	2811	1973	838	0.002505	0.000552	0.001953
2025-08-06 19:55:11	15	gpt-oss-120b	9.7	0.1	4	13	1.0	1.0	1.0	2907	1802	1105	0.003079	0.000505	0.002575
2025-08-06 19:55:19	16	gpt-oss-120b	8.2	0.0	0	0	0.0	0.0	0.0	3045	1987	1058	0.003021	0.000556	0.002465
2025-08-06 19:55:30	17	gpt-oss-120b	10.4	0.2	24	6	1.0	0.83	0.0	3592	2030	1562	0.004208	0.000568	0.003639
2025-08-06 19:55:37	18	gpt-oss-120b	6.9	0.5	175	6	1.0	1.0	1.0	3031	1997	1034	0.002968	0.000559	0.002409
2025-08-06 19:55:50	19	gpt-oss-120b	10.2	2.5	107	7	0.99	1.0	0.99	3491	2447	1044	0.003118	0.000685	0.002433
2025-08-06 19:55:58	20	gpt-oss-120b	6.9	1.0	4050	5	1.0	0.6	0.0	3401	2436	965	0.002931	0.000682	0.002248
