Timestamp	Question	Model	LLM_time	SQL_time	Rows	Columns	Percent_rows_equality	Percent_columns_equality	Percent_source_rows_equality	Percent_llm_rows_equality	Total_tokens	Prompt_tokens	Completion_tokens	Cost_total_EUR	Cost_input_tokens_EUR	Cost_output_tokens_EUR
2025-06-27 19:50:52	1	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	2.7	0.0	0	0	0.0	0.0	0.0	0.0	1838	1714	124	0.002519	0.001954	0.000565
2025-06-27 19:51:12	2	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	3.1	16.9	5	4	1.0	1.0	1.0	1.0	1741	1623	118	0.002388	0.00185	0.000538
2025-06-27 19:51:24	3	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	1.6	10.1	5	3	1.0	1.0	1.0	1.0	1993	1920	73	0.002522	0.002189	0.000333
2025-06-27 19:51:37	4	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	4.5	9.0	5	4	0.33	1.0	0.33	1.0	2460	2256	204	0.003502	0.002572	0.00093
2025-06-27 19:51:47	5	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	5.4	4.4	123	4	1.0	0.75	0.0	0.0	2498	2279	219	0.003597	0.002598	0.000999
2025-06-27 19:51:52	6	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	3.4	0.0	0	0	0.0	0.0	0.0	0.0	1964	1799	165	0.002803	0.002051	0.000752
2025-06-27 19:51:55	7	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	1.6	1.8	7	3	1.0	1.0	1.0	1.0	1727	1649	78	0.002236	0.00188	0.000356
2025-06-27 19:52:00	8	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	2.7	1.7	3	4	1.0	1.0	1.0	1.0	1895	1773	122	0.002578	0.002021	0.000556
2025-06-27 19:52:05	9	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	3.4	1.7	4	3	1.0	1.0	1.0	1.0	1957	1818	139	0.002706	0.002073	0.000634
2025-06-27 19:52:10	10	{'id': 'msdn-corp', 'name': 'DeepSeek-V3-0324', 'cost_input_tokens_EUR_1K': 0.00114, 'cost_output_tokens_EUR_1K': 0.00456}	2.5	2.2	19	4	1.0	1.0	1.0	1.0	1836	1732	104	0.002449	0.001974	0.000474
