Timestamp	Question	Model	LLM_time	SQL_time	Rows	Columns	Percent_rows_equality	Percent_columns_equality	Percent_source_rows_equality	Percent_llm_rows_equality	Total_tokens	Prompt_tokens	Completion_tokens	Cost_total_EUR	Cost_input_tokens_EUR	Cost_output_tokens_EUR
2025-06-01 21:34:32	1	gpt-4.1	1.3	4.2	4	4	1.0	1.0	1.0	1.0	1764	1644	120	0.004248	0.003288	0.00096
2025-06-01 21:34:34	2	gpt-4.1	1.2	1.2	5	4	1.0	1.0	1.0	1.0	1656	1553	103	0.00393	0.003106	0.000824
2025-06-01 21:34:44	3	gpt-4.1	1.0	8.7	5	3	1.0	1.0	1.0	1.0	1916	1837	79	0.004306	0.003674	0.000632
2025-06-01 21:34:47	4	gpt-4.1	1.9	0.0	0	0	0.0	0.0	0.0	0.0	2373	2165	208	0.005994	0.00433	0.001664
2025-06-01 21:34:55	5	gpt-4.1	1.9	6.3	123	4	1.0	0.75	0.0	0.0	2399	2185	214	0.006082	0.00437	0.001712
2025-06-01 21:34:58	6	gpt-4.1	1.3	1.4	10	3	1.0	1.0	1.0	1.0	1869	1724	145	0.004608	0.003448	0.00116
2025-06-01 21:35:31	7	gpt-4.1	30.6	2.1	7	3	1.0	0.67	0.0	0.0	1661	1582	79	0.003796	0.003164	0.000632
2025-06-01 21:35:38	8	gpt-4.1	3.6	3.9	3	4	1.0	1.0	1.0	1.0	1835	1702	133	0.004468	0.003404	0.001064
2025-06-01 21:35:42	9	gpt-4.1	1.5	2.0	4	3	1.0	1.0	1.0	1.0	1874	1743	131	0.004534	0.003486	0.001048
2025-06-01 21:35:48	10	gpt-4.1	4.4	2.1	19	4	1.0	1.0	1.0	1.0	1772	1663	109	0.004198	0.003326	0.000872
2025-06-01 21:35:55	11	gpt-4.1	1.0	6.1	15	2	1.0	1.0	1.0	1.0	1920	1855	65	0.00423	0.00371	0.00052
2025-06-01 21:35:58	12	gpt-4.1	1.0	1.4	3	2	1.0	1.0	1.0	1.0	1619	1555	64	0.003622	0.00311	0.000512
2025-06-01 21:36:31	13	gpt-4.1	32.3	1.3	6	4	1.0	1.0	1.0	1.0	1913	1667	246	0.005302	0.003334	0.001968
