region_id	region_name	order_year	market_segment	num_orders	pct_of_total
0	AFRICA	1992	BUILDING	91580	20.11
0	AFRICA	1992	FURNITURE	91277	20.04
0	AFRICA	1992	MACHINERY	91148	20.01
0	AFRICA	1992	AUTOMOBILE	90988	19.98
0	AFRICA	1992	HOUSEHOLD	90496	19.87
0	AFRICA	1993	AUTOMOBILE	91647	20.13
0	AFRICA	1993	HOUSEHOLD	91289	20.05
0	AFRICA	1993	BUILDING	91101	20.01
0	AFRICA	1993	MACHINERY	90657	19.91
0	AFRICA	1993	FURNITURE	90527	19.89
0	AFRICA	1994	AUTOMOBILE	91756	20.17
0	AFRICA	1994	BUILDING	91341	20.08
0	AFRICA	1994	MACHINERY	90828	19.97
0	AFRICA	1994	HOUSEHOLD	90603	19.92
0	AFRICA	1994	FURNITURE	90380	19.87
0	AFRICA	1995	AUTOMOBILE	91840	20.19
0	AFRICA	1995	MACHINERY	90874	19.98
0	AFRICA	1995	BUILDING	90863	19.97
0	AFRICA	1995	HOUSEHOLD	90729	19.94
0	AFRICA	1995	FURNITURE	90626	19.92
0	AFRICA	1996	BUILDING	91728	20.11
0	AFRICA	1996	MACHINERY	91577	20.08
0	AFRICA	1996	AUTOMOBILE	91153	19.98
0	AFRICA	1996	FURNITURE	90916	19.93
0	AFRICA	1996	HOUSEHOLD	90743	19.89
0	AFRICA	1997	BUILDING	91131	20.1
0	AFRICA	1997	HOUSEHOLD	90649	20.0
0	AFRICA	1997	AUTOMOBILE	90631	19.99
0	AFRICA	1997	MACHINERY	90511	19.97
0	AFRICA	1997	FURNITURE	90374	19.94
0	AFRICA	1998	AUTOMOBILE	53555	20.13
0	AFRICA	1998	BUILDING	53335	20.05
0	AFRICA	1998	HOUSEHOLD	53183	19.99
0	AFRICA	1998	MACHINERY	53093	19.96
0	AFRICA	1998	FURNITURE	52860	19.87
1	AMERICA	1992	MACHINERY	91598	20.15
1	AMERICA	1992	BUILDING	91332	20.09
1	AMERICA	1992	HOUSEHOLD	90878	19.99
1	AMERICA	1992	FURNITURE	90594	19.93
1	AMERICA	1992	AUTOMOBILE	90266	19.85
1	AMERICA	1993	BUILDING	91230	20.12
1	AMERICA	1993	MACHINERY	90922	20.05
1	AMERICA	1993	HOUSEHOLD	90799	20.03
1	AMERICA	1993	FURNITURE	90368	19.93
1	AMERICA	1993	AUTOMOBILE	90080	19.87
1	AMERICA	1994	BUILDING	91065	20.1
1	AMERICA	1994	HOUSEHOLD	90898	20.06
1	AMERICA	1994	MACHINERY	90733	20.03
1	AMERICA	1994	FURNITURE	90412	19.96
1	AMERICA	1994	AUTOMOBILE	89949	19.85
1	AMERICA	1995	MACHINERY	91605	20.16
1	AMERICA	1995	BUILDING	91327	20.1
1	AMERICA	1995	HOUSEHOLD	91301	20.09
1	AMERICA	1995	AUTOMOBILE	90242	19.86
1	AMERICA	1995	FURNITURE	89993	19.8
1	AMERICA	1996	MACHINERY	91484	20.07
1	AMERICA	1996	BUILDING	91454	20.06
1	AMERICA	1996	FURNITURE	91107	19.98
1	AMERICA	1996	HOUSEHOLD	90984	19.96
1	AMERICA	1996	AUTOMOBILE	90863	19.93
1	AMERICA	1997	MACHINERY	92121	20.25
1	AMERICA	1997	BUILDING	90965	20.0
1	AMERICA	1997	AUTOMOBILE	90696	19.94
1	AMERICA	1997	HOUSEHOLD	90628	19.92
1	AMERICA	1997	FURNITURE	90485	19.89
1	AMERICA	1998	MACHINERY	53607	20.17
1	AMERICA	1998	HOUSEHOLD	53311	20.06
1	AMERICA	1998	BUILDING	53021	19.95
1	AMERICA	1998	FURNITURE	52929	19.91
1	AMERICA	1998	AUTOMOBILE	52922	19.91
2	ASIA	1992	MACHINERY	91963	20.06
2	ASIA	1992	FURNITURE	91938	20.06
2	ASIA	1992	BUILDING	91944	20.06
2	ASIA	1992	AUTOMOBILE	91290	19.92
2	ASIA	1992	HOUSEHOLD	91192	19.9
2	ASIA	1993	FURNITURE	91645	20.11
2	ASIA	1993	BUILDING	91369	20.05
2	ASIA	1993	HOUSEHOLD	91093	19.99
2	ASIA	1993	MACHINERY	91097	19.99
2	ASIA	1993	AUTOMOBILE	90475	19.85
2	ASIA	1994	FURNITURE	91992	20.14
2	ASIA	1994	BUILDING	91578	20.05
2	ASIA	1994	MACHINERY	91283	19.98
2	ASIA	1994	HOUSEHOLD	91095	19.94
2	ASIA	1994	AUTOMOBILE	90823	19.88
2	ASIA	1995	FURNITURE	91999	20.17
2	ASIA	1995	AUTOMOBILE	91160	19.99
2	ASIA	1995	MACHINERY	91118	19.98
2	ASIA	1995	HOUSEHOLD	90888	19.93
2	ASIA	1995	BUILDING	90844	19.92
2	ASIA	1996	FURNITURE	91839	20.12
2	ASIA	1996	MACHINERY	91715	20.09
2	ASIA	1996	BUILDING	91584	20.06
2	ASIA	1996	AUTOMOBILE	90723	19.87
2	ASIA	1996	HOUSEHOLD	90608	19.85
2	ASIA	1997	FURNITURE	91606	20.11
2	ASIA	1997	MACHINERY	91607	20.11
2	ASIA	1997	BUILDING	91287	20.04
2	ASIA	1997	AUTOMOBILE	90813	19.93
2	ASIA	1997	HOUSEHOLD	90268	19.81
2	ASIA	1998	BUILDING	53678	20.06
2	ASIA	1998	AUTOMOBILE	53533	20.01
2	ASIA	1998	MACHINERY	53525	20.01
2	ASIA	1998	FURNITURE	53440	19.97
2	ASIA	1998	HOUSEHOLD	53368	19.95
3	EUROPE	1992	AUTOMOBILE	92257	20.17
3	EUROPE	1992	FURNITURE	91936	20.1
3	EUROPE	1992	BUILDING	91759	20.06
3	EUROPE	1992	MACHINERY	90951	19.88
3	EUROPE	1992	HOUSEHOLD	90525	19.79
3	EUROPE	1993	AUTOMOBILE	92103	20.15
3	EUROPE	1993	FURNITURE	91633	20.05
3	EUROPE	1993	BUILDING	91440	20.01
3	EUROPE	1993	MACHINERY	91290	19.98
3	EUROPE	1993	HOUSEHOLD	90539	19.81
3	EUROPE	1994	AUTOMOBILE	92179	20.17
3	EUROPE	1994	MACHINERY	91495	20.02
3	EUROPE	1994	BUILDING	91447	20.01
3	EUROPE	1994	FURNITURE	91335	19.99
3	EUROPE	1994	HOUSEHOLD	90544	19.81
3	EUROPE	1995	AUTOMOBILE	92243	20.24
3	EUROPE	1995	FURNITURE	91439	20.07
