supplier_id	supplier_name	num_suppliers	avg_cost
516	Supplier#000000516	1	3441585.7
571	Supplier#000000571	1	3001391.9
582	Supplier#000000582	1	1304267.54
1084	Supplier#000001084	1	6963792.0
1354	Supplier#000001354	1	1606856.79
1605	Supplier#000001605	1	5788240.64
1628	Supplier#000001628	1	5052066.6
1726	Supplier#000001726	1	1951121.78
1759	Supplier#000001759	1	7484125.28
1770	Supplier#000001770	1	4508323.74
1931	Supplier#000001931	1	56243.14
2295	Supplier#000002295	1	1637936.04
2366	Supplier#000002366	1	1813722.29
2447	Supplier#000002447	1	4481360.286666667
2534	Supplier#000002534	1	5785427.28
2786	Supplier#000002786	1	586686.76
2891	Supplier#000002891	1	3284097.3
2902	Supplier#000002902	1	295471.14
2940	Supplier#000002940	1	5734913.04
3005	Supplier#000003005	1	542796.8
3040	Supplier#000003040	1	8648189.0
3355	Supplier#000003355	1	7046130.08
3616	Supplier#000003616	1	6430073.2
3893	Supplier#000003893	1	7724664.88
4037	Supplier#000004037	1	801771.6
4151	Supplier#000004151	1	6471506.32
4734	Supplier#000004734	1	6038661.6
4916	Supplier#000004916	1	516456.0
4925	Supplier#000004925	1	1425151.26
5131	Supplier#000005131	1	175018.5
5135	Supplier#000005135	1	888805.66
5173	Supplier#000005173	1	3158670.42
5327	Supplier#000005327	1	3931473.34
5391	Supplier#000005391	1	621023.31
5493	Supplier#000005493	1	1438841.88
5702	Supplier#000005702	1	5904319.96
5763	Supplier#000005763	1	2197971.6
5948	Supplier#000005948	1	1886631.5
6054	Supplier#000006054	1	1087608.9
6060	Supplier#000006060	1	385002.72
6578	Supplier#000006578	1	5422764.4
7193	Supplier#000007193	1	6322808.03
7222	Supplier#000007222	1	3730151.0
7456	Supplier#000007456	1	2185810.33
7479	Supplier#000007479	1	1566623.92
7836	Supplier#000007836	1	1268386.35
7916	Supplier#000007916	1	5307420.6
8068	Supplier#000008068	1	3180904.75
8327	Supplier#000008327	1	234756.18
8513	Supplier#000008513	1	4266937.25
8568	Supplier#000008568	1	74557.09
