supplier_id	supplier_name	num_suppliers	avg_cost
516	Supplier#000000516       	1	3441585.7
1770	Supplier#000001770       	1	4508323.74
2295	Supplier#000002295       	1	1637936.04
2366	Supplier#000002366       	1	1813722.29
2534	Supplier#000002534       	1	5785427.28
3616	Supplier#000003616       	1	6430073.2
3893	Supplier#000003893       	1	7724664.88
4734	Supplier#000004734       	1	6038661.6
5135	Supplier#000005135       	1	888805.66
5327	Supplier#000005327       	1	3931473.34
6060	Supplier#000006060       	1	385002.72
6578	Supplier#000006578       	1	5422764.4
11625	Supplier#000011625       	1	5385563.15
11801	Supplier#000011801       	1	2393980.2
12402	Supplier#000012402       	1	2456686.56
13558	Supplier#000013558       	1	316655.82
14413	Supplier#000014413       	1	32761.44
14686	Supplier#000014686       	1	1578751.44
14831	Supplier#000014831       	1	5432001.76
15154	Supplier#000015154       	1	3473812.8
15293	Supplier#000015293       	1	2911831.65
15946	Supplier#000015946       	1	913868.6
16930	Supplier#000016930       	1	168466.62
17639	Supplier#000017639       	1	2264352.0
17974	Supplier#000017974       	1	354686.9
18120	Supplier#000018120       	1	199870.02
18788	Supplier#000018788       	1	3256849.47
19382	Supplier#000019382       	1	4348731.92
20303	Supplier#000020303       	1	2217724.8
22432	Supplier#000022432       	1	661131.88
22677	Supplier#000022677       	1	4173280.44
24916	Supplier#000024916       	1	225350.61
26101	Supplier#000026101       	1	1982451.12
27366	Supplier#000027366       	1	1199823.03
27903	Supplier#000027903       	1	6933037.0
29248	Supplier#000029248       	1	4856823.84
30719	Supplier#000030719       	1	551095.08
35471	Supplier#000035471       	1	2598921.93
35557	Supplier#000035557       	1	772634.55
36471	Supplier#000036471       	1	1288243.66
38392	Supplier#000038392       	1	3372381.04
38810	Supplier#000038810       	1	4502259.33
38984	Supplier#000038984       	1	471209.17
40155	Supplier#000040155       	1	4112756.1
41596	Supplier#000041596       	1	3566966.13
42163	Supplier#000042163       	1	1200456.63
43087	Supplier#000043087       	1	756880.8
43299	Supplier#000043299       	1	1024322.13
44901	Supplier#000044901       	1	6958321.72
45053	Supplier#000045053       	1	5984026.88
45446	Supplier#000045446       	1	568864.98
45695	Supplier#000045695       	1	2098709.88
45914	Supplier#000045914       	1	3157397.91
46253	Supplier#000046253       	1	1221396.05
46878	Supplier#000046878       	1	282477.58
47086	Supplier#000047086       	1	6915072.57
47385	Supplier#000047385       	1	5364835.85
47602	Supplier#000047602       	1	111905.3
48287	Supplier#000048287       	1	5948644.32
51118	Supplier#000051118       	1	49421.7
53054	Supplier#000053054       	1	4402904.76
53880	Supplier#000053880       	1	299152.4
54137	Supplier#000054137       	1	607339.15
54918	Supplier#000054918       	1	4750846.48
55736	Supplier#000055736       	1	47310.32
57501	Supplier#000057501       	1	60430.5
57840	Supplier#000057840       	1	1429650.19
58295	Supplier#000058295       	1	923860.35
59192	Supplier#000059192       	1	1710572.16
61185	Supplier#000061185       	1	3062294.52
61282	Supplier#000061282       	1	843511.5
61283	Supplier#000061283       	1	2504618.61
61651	Supplier#000061651       	1	6517203.84
62252	Supplier#000062252       	1	429806.25
62558	Supplier#000062558       	1	1109630.4
63405	Supplier#000063405       	1	1668666.38
64813	Supplier#000064813       	1	2125666.9
64989	Supplier#000064989       	1	1066066.92
65000	Supplier#000065000       	1	3693969.27
65061	Supplier#000065061       	1	501831.84
65498	Supplier#000065498       	1	1545435.5
65782	Supplier#000065782       	1	2764097.38
66015	Supplier#000066015       	1	5594121.3
66569	Supplier#000066569       	1	439593.58
67042	Supplier#000067042       	1	2403746.46
69305	Supplier#000069305       	1	6579911.88
69354	Supplier#000069354       	1	1689069.48
69573	Supplier#000069573       	1	430619.8
69880	Supplier#000069880       	1	1148847.0
70443	Supplier#000070443       	1	1833103.45
71270	Supplier#000071270       	1	2992169.32
71780	Supplier#000071780       	1	3886956.92
72729	Supplier#000072729       	1	3665823.0
73207	Supplier#000073207       	1	1192861.44
73399	Supplier#000073399       	1	4407696.95
75622	Supplier#000075622       	1	245926.12
76726	Supplier#000076726       	1	3617069.4
77156	Supplier#000077156       	1	1004059.22
78005	Supplier#000078005       	1	1240612.12
78603	Supplier#000078603       	1	1125973.03
78879	Supplier#000078879       	1	5274379.5
79028	Supplier#000079028       	1	2840292.0
79238	Supplier#000079238       	1	6128945.28
80431	Supplier#000080431       	1	6192832.8
80548	Supplier#000080548       	1	487005.04
82235	Supplier#000082235       	1	358358.4
87388	Supplier#000087388       	1	4689934.23
88151	Supplier#000088151       	1	3176942.4
88469	Supplier#000088469       	1	1222090.56
89856	Supplier#000089856       	1	347880.0
90062	Supplier#000090062       	1	2280664.26
90916	Supplier#000090916       	1	2161367.04
91318	Supplier#000091318       	1	624831.12
92122	Supplier#000092122       	1	6058364.68
93517	Supplier#000093517       	1	5568618.77
94887	Supplier#000094887       	1	3341655.21
95073	Supplier#000095073       	1	377727.92
97830	Supplier#000097830       	1	3721333.05
98220	Supplier#000098220       	1	1103372.16
98489	Supplier#000098489       	1	4092821.7
98631	Supplier#000098631       	1	248678.88
98661	Supplier#000098661       	1	3527933.5
99206	Supplier#000099206       	1	917118.18
